id;name;sku;quantity;expiry;category_id
1;Generic Steel Tuna;website calculating;57374;2020-07-25;1
2;support Consultant;wireless Chilean Peso Unidades de fomento;9665;2020-07-25;2
3;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;6255;2020-07-26;3
4;Credit Card Account;networks infomediaries;57853;2020-07-25;4
5;throughput;Union transmitting;27988;2020-07-25;5
6;initiative green;Malagasy Ariary Gloves;54278;2020-07-25;6
7;neutral;Rustic Concrete Car;78661;2020-07-26;7
8;Oklahoma;aggregate throughput Practical;94963;2020-07-25;8
9;distributed Dynamic auxiliary;Human New Mexico Implementation;12092;2020-07-26;9
10;Shirt intangible;Prairie;45935;2020-07-26;10
